,session_key,driver_number,meeting_key,year,total_laps_real,used_laps_80,max_lap_number,feature_lap_count,feature_lap_duration_mean,feature_lap_duration_median,feature_lap_duration_std,feature_lap_duration_min,feature_sector_1_mean,feature_sector_2_mean,feature_sector_3_mean,feature_i1_speed_mean,feature_i2_speed_mean,feature_st_speed_mean,feature_st_speed_max,feature_total_pit_stops,feature_total_pit_duration,feature_avg_pit_duration,feature_pit_lap_rate,feature_stint_count,feature_most_used_compound,feature_avg_tyre_age,feature_max_tyre_age,feature_avg_lap_in_stint,feature_avg_air_temperature,feature_avg_track_temperature,feature_avg_humidity,feature_rain_rate,feature_avg_wind_speed,feature_avg_race_position,feature_best_race_position,feature_worst_race_position,feature_avg_gap_to_leader,feature_avg_interval_to_car_ahead,feature_clean_lap_count,feature_clean_lap_duration_mean,feature_clean_lap_duration_median,feature_clean_lap_duration_std,feature_clean_lap_duration_min,feature_clean_lap_rate,feature_compound_hard_laps,feature_compound_intermediate_laps,feature_compound_medium_laps,feature_compound_soft_laps,feature_compound_unknown_laps,feature_compound_wet_laps,speed_max,speed_mean,speed_std,speed_median,throttle_max,throttle_mean,throttle_std,throttle_median,rpm_max,rpm_mean,rpm_std,rpm_median,ngear_mean,ngear_std,position
0,9472,1,1229,2024,57,45,57,45,97.07313333333332,96.133,4.561376564551139,92.608,31.733644444444444,41.54284444444445,23.796644444444443,233.17777777777775,254.0,288.6222222222222,299.0,2,49.2,1.0933333333333335,0.0444444444444444,3,SOFT,1.1333333333333333,3.0,8.866666666666667,18.09555555555556,23.066666666666663,49.62222222222222,0.0,0.6,1.1428571428571428,1.0,2.0,0.0,0.0,41.0,95.97224390243905,95.886,1.0727191333356438,92.608,0.9111111111111112,20,0,0,25,0,0,303.0,198.8645623375836,67.30335671922877,209.3303036121212,100.0,64.49838448573243,42.736196487147865,95.0,12368.0,9857.000827246644,1744.43703833343,10593.0,5.137994452484322,1.589790513487375,1.0
1,9472,4,1229,2024,57,45,57,45,97.85037777777778,96.823,4.51288232471972,94.476,31.86611111111111,41.97413333333333,24.01013333333333,233.6,253.95555555555555,296.46666666666664,318.0,2,48.9,1.086666666666667,0.0444444444444444,3,HARD,0.8666666666666667,3.0,8.422222222222222,18.09555555555556,23.06,49.62222222222222,0.0,0.6133333333333334,5.512820512820513,1.0,8.0,25.61625641025641,3.0790666666666664,41.0,96.78873170731708,96.73,1.4087911311544747,94.476,0.9111111111111112,32,0,0,13,0,0,323.0,197.20806312991544,68.6718700189153,206.10893165714288,99.0,62.73348626558424,41.583365198397686,88.0,12681.0,10294.619367095193,1421.16052173594,10768.0,4.833243582839706,1.8562756137622127,6.0
2,9472,10,1229,2024,56,44,56,44,99.81656818181818,98.2855,5.951685555263443,96.112,32.977000000000004,42.42977272727273,24.409795454545453,230.5,252.22727272727272,293.3863636363636,312.0,3,81.5,1.8522727272727275,0.0681818181818181,4,HARD,0.0,0.0,7.886363636363637,18.095454545454547,23.06590909090909,49.65909090909091,0.0,0.6045454545454546,16.886363636363637,12.0,19.0,54.36983783783784,1.8503333333333332,38.0,98.15615789473684,98.099,1.8507502573108,96.112,0.8636363636363636,31,0,0,13,0,0,326.0,193.6281908431977,70.92771776552019,200.45416853333333,100.0,64.32542341488596,42.67390139469513,91.0,12500.0,10122.450675649065,1496.2733220443215,10706.85,4.795064023750262,1.8050944150175023,18.0
3,9472,11,1229,2024,57,45,57,45,97.4406,96.344,4.429757624192426,94.364,31.77128888888889,41.77197777777778,23.89733333333333,232.24444444444444,258.8888888888889,296.77777777777777,320.0,2,49.0,1.0888888888888888,0.0444444444444444,3,HARD,0.8,3.0,9.4,18.093333333333334,23.06222222222222,49.62222222222222,0.0,0.5933333333333333,3.136363636363636,2.0,8.0,14.044266666666664,11.162295454545456,41.0,96.38421951219512,96.313,1.2366091442366691,94.364,0.9111111111111112,24,0,0,21,0,0,331.0,197.74628313662885,68.9100352279756,207.0,100.0,64.93569296239795,42.912171383450975,98.38000128,12295.0,9883.359056056514,1759.7488088116572,10634.0,5.0588411978493975,1.6504210147154543,2.0
4,9472,14,1229,2024,57,45,57,45,98.6684888888889,97.601,4.396613353801797,94.872,32.10602222222222,42.38575555555556,24.17671111111111,232.35555555555555,244.26666666666668,295.7555555555556,323.0,2,49.8,1.106666666666667,0.0444444444444444,3,HARD,1.0,3.0,10.688888888888888,18.09555555555556,23.057777777777776,49.62222222222222,0.0,0.6244444444444445,7.860465116279069,2.0,11.0,35.2412,5.658477272727273,41.0,97.63431707317072,97.357,1.2250803532630905,94.872,0.9111111111111112,30,0,0,15,0,0,324.0,195.38587371723327,69.08160192326405,204.0,100.0,62.11715549380772,42.12128819501349,84.0,12392.0,9953.00250135189,1618.6628215597068,10533.9375168,5.127373605506765,1.8545466391682064,9.0
5,9472,16,1229,2024,57,45,57,45,97.75824444444444,96.907,4.390688541755959,94.09,31.880955555555555,41.95971111111111,23.917577777777776,234.3111111111111,256.2,298.97777777777776,320.0,2,48.1,1.068888888888889,0.0444444444444444,3,HARD,0.7333333333333333,3.0,9.066666666666666,18.093333333333334,23.06,49.62222222222222,0.0,0.5977777777777777,4.627906976744186,2.0,10.0,22.65093333333333,2.083136363636364,41.0,96.6861707317073,96.831,1.1662211819041717,94.09,0.9111111111111112,34,0,0,11,0,0,324.0,197.59880995635208,70.35129826901763,205.9656272,100.0,67.0869236846938,39.62864096712007,97.48028708695924,12609.0,10090.068613229514,1599.9341511435923,10689.0,5.046171811839387,1.76245973431225,4.0
6,9472,18,1229,2024,57,45,57,45,98.60533333333332,97.554,4.69234151667277,95.632,32.12386666666667,42.4346,24.046866666666663,228.24444444444444,248.55555555555557,298.2888888888889,326.0,2,48.9,1.086666666666667,0.0444444444444444,3,HARD,0.0,0.0,8.6,18.09555555555556,23.04888888888889,49.68888888888889,0.0,0.6622222222222223,13.422222222222222,5.0,19.0,50.33792857142858,4.8962,41.0,97.56007317073173,97.417,2.307665935423105,95.632,0.9111111111111112,36,0,0,9,0,0,332.0,195.6961484495671,69.2935873103266,205.0,100.0,61.96267646671853,42.36753654511905,83.44875008,12909.0,9748.65706825998,1730.9122959458157,10383.0,5.302689384944194,1.7764658522320504,10.0
7,9472,20,1229,2024,56,44,56,44,98.86379545454544,98.0775,4.585230965142298,95.57,32.104386363636365,42.46518181818182,24.29422727272727,232.38636363636363,255.25,301.75,331.0,2,50.3,1.143181818181818,0.0454545454545454,3,HARD,0.0,0.0,8.522727272727273,18.097727272727276,23.068181818181817,49.65909090909091,0.0,0.6431818181818182,12.568181818181818,8.0,16.0,48.57875000000001,2.4278139534883723,40.0,97.800425,98.025,1.6096718711253857,95.57,0.9090909090909092,33,0,0,11,0,0,333.0,195.28552463803612,70.87620367247256,201.0,100.0,63.95403145802494,42.86507788842167,98.34999893333334,12583.0,9860.915286367705,1774.7755584769836,10607.0,5.158758516275549,1.7255229404368435,12.0
8,9472,22,1229,2024,56,44,56,44,98.90006818181818,97.842,4.559238305405375,95.833,32.20245454545454,42.48868181818182,24.208931818181817,230.27272727272728,251.8181818181818,298.6818181818182,321.0,2,49.0,1.1136363636363635,0.0454545454545454,3,HARD,0.0,0.0,8.409090909090908,18.1,23.072727272727278,49.65909090909091,0.0,0.6522727272727272,10.159090909090908,4.0,14.0,44.241214285714285,2.6425227272727274,40.0,97.815625,97.777,1.3123266808640666,95.833,0.9090909090909092,30,0,0,14,0,0,328.0,194.89021704965617,69.66824256681772,201.7283535079168,100.0,62.47253106075959,43.03078484894737,85.0,12750.0,10245.651780393702,1609.5971544421363,10897.0,4.736848477510745,1.83107937328284,14.0
9,9472,23,1229,2024,56,44,56,44,99.05620454545456,98.1935,4.543351936362982,95.723,32.24590909090909,42.58413636363636,24.226159090909093,230.8409090909091,251.38636363636363,298.3863636363636,330.0,2,49.2,1.1181818181818182,0.0454545454545454,3,HARD,0.0,0.0,8.795454545454545,18.1,23.070454545454545,49.65909090909091,0.0,0.6613636363636364,11.431818181818182,3.0,16.0,47.81248837209302,2.11453488372093,40.0,97.9999,98.1175,1.435280474689764,95.723,0.9090909090909092,29,0,0,15,0,0,330.0,194.45785594572948,69.93144454881346,201.0,100.0,60.11410906468153,42.96391776766647,78.9250048,12865.0,9717.15612336782,1773.6231284324283,10412.75009024,5.292811168525065,1.7568110946596809,15.0
